RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,Average Home Price 2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,Average Home Price 2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,Average Home Price 2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,Average Home Price 2019
24,25,Kentucky,State,KY,126803,127296,127900,128583,129323,129989,130672,131320,131994,132591,133320,134000,130315.9167,134743,135414,136065,136608,137117,137671,138284,138775,139203,139593,139841,140155,137789.0833,140555,141208,141810,142456,143242,144095,144907,145529,146134,146691,147172,147592,144282.5833,147993,148457,149003,149634,150259,150919,151671,152737,153942,155323,156926,151533.0909
46,26,Oregon,State,OR,314217,316890,319126,321460,323243,324794,326119,327764,329485,331247,333099,334870,325192.8333,336565,338587,340873,342984,344844,346788,348801,350254,351221,351846,352855,353951,346630.75,355120,355843,356052,356391,357131,358587,359732,360789,361135,362121,362740,363859,359125,364882,366287,368234,370364,372668,374690,377243,380388,384648,388939,393710,376550.2727
45,27,Oklahoma,State,OK,118039,118283,118507,118923,119322,119702,119987,120306,120711,121159,121574,121981,119874.5,122354,122553,122747,122929,123266,123488,123746,123981,124263,124599,124909,125269,123675.3333,125531,126047,126485,126924,127281,127850,128499,129079,129568,130028,130591,131124,128250.5833,131822,132433,133148,133871,134623,135310,135983,136763,137625,138521,139409,135409.8182
11,28,Connecticut,State,CT,245616,246171,246762,247521,248360,249118,249916,250775,251771,252547,253467,253919,249661.9167,254239,254319,254722,255176,255730,256454,256926,257388,257341,257387,257129,257493,256192,257390,257909,258205,258892,259522,259930,259987,259620,259224,258934,258906,259104,258968.5833,259999,260639,261549,262398,263533,265077,267327,270250,273808,277690,281924,267654
19,29,Iowa,State,IA,137282,137869,138460,139000,139501,140020,140481,140968,141443,141906,142415,142943,140190.6667,143311,143638,143960,144508,145086,145450,145785,146161,146681,147171,147526,147883,145596.6667,148323,148943,149507,149970,150285,150747,151147,151670,152059,152484,152706,152936,150898.0833,153186,153405,153676,153941,154337,154744,155246,155649,156111,156588,157308,154926.4545
34,30,Mississippi,State,MS,114294,114586,114879,115219,115570,115840,116086,116342,116669,117025,117413,117730,115971.0833,118066,118426,118782,119117,119474,119915,120361,120778,121218,121606,121960,122290,120166.0833,122621,123062,123549,124186,124684,125175,125533,125989,126327,126625,126865,127161,125148.0833,127537,127852,128153,128367,128712,129070,129567,130030,130590,131236,131973,129371.5455
6,31,Arkansas,State,AR,118569,118949,119385,119759,120200,120601,121157,121712,122216,122643,123080,123574,120987.0833,124068,124607,125100,125632,126108,126536,126912,127224,127620,128008,128470,128952,126603.0833,129430,129845,130204,130592,131094,131628,132121,132610,133095,133599,133831,134016,131838.75,134213,134616,135110,135627,136130,136704,137367,138135,138945,139837,140986,137060.9091
23,32,Kansas,State,KS,135216,135792,136434,137117,137618,138018,138460,139024,139675,140331,141056,141794,138377.9167,142502,143126,143672,144198,144839,145491,145995,146420,146890,147392,147992,148489,145583.8333,149032,149496,149984,150459,150970,151614,152331,152974,153518,153949,154147,154370,151903.6667,154695,155260,155893,156616,157383,158156,159031,160083,161284,162683,164336,158674.5455
55,33,Utah,State,UT,277343,279303,281545,284020,286425,288875,291098,293575,295438,297411,299315,301704,289671,303752,306341,308844,311885,314611,317028,319513,321648,324019,326491,329059,331466,317888.0833,333733,335805,337554,338880,340012,341681,343279,344931,346333,347198,348304,349334,342253.6667,351288,353117,355394,357911,361021,364131,367611,371528,376018,381272,386723,366001.2727
42,34,Nevada,State,NV,237449,238290,241506,243913,246426,248838,252107,254922,258359,262429,266835,271062,251844.6667,273954,277220,279315,282002,284832,288967,292781,296420,298421,299660,299981,301321,289572.8333,302585,303782,303710,303995,305028,306197,306198,304980,303658,303816,304887,305761,304549.75,306953,307901,309952,311704,312898,313456,315007,317866,321675,324782,327714,315446.1818
41,35,New Mexico,State,NM,180961,181227,181163,181492,181894,182567,183307,184118,184833,185060,185377,185524,183126.9167,185968,186686,187824,188929,189771,190406,190699,191240,191827,193155,194213,195420,190511.5,196484,197362,198005,198615,199515,200810,202140,203340,204374,204992,205505,206054,201433,206863,207952,209200,210572,212005,213357,215030,216873,219049,221493,224374,214251.6364
61,36,West Virginia,State,WV,97340,97445,97561,97782,98038,98353,98696,99096,99507,99983,100479,100880,98763.33333,101224,101545,101851,102083,102215,102344,102447,102552,102726,102865,103102,103344,102358.1667,103660,104002,104364,104733,105065,105430,105828,106281,106670,107014,106920,106809,105564.6667,106692,106795,106916,107097,107409,107748,108131,108523,108998,109586,110544,108039.9091
38,37,Nebraska,State,NE,150325,151328,152511,153718,154637,155374,156085,156813,157620,158529,159540,160557,155586.4167,161435,162288,162947,163767,164744,165798,166627,167355,168032,168660,169328,170101,165923.5,170916,171552,172202,172957,173904,174828,175779,176612,177331,177840,178187,178495,175050.25,179020,179719,180517,181216,181824,182527,183408,184515,185812,187378,189139,183188.6364
20,38,Idaho,State,ID,212185,213422,214638,216786,218557,220442,222235,224192,226293,228197,230348,232400,221641.25,234720,237061,239533,242143,245314,248908,252539,255353,257725,260028,262600,265046,250080.8333,267603,269719,272218,274226,276566,278480,280801,283306,285847,287951,289209,290720,279720.5,292431,295131,297674,300642,303470,306771,310129,314187,318865,324480,331126,308627.8182
18,39,Hawaii,State,HI,596501,598594,600714,603549,608012,611646,614605,615347,617321,619963,623786,626874,611409.3333,629457,632052,634374,636237,636829,637638,639186,641919,643400,643984,643871,644128,638589.5833,644715,645554,646593,646166,645553,645330,646787,648170,648610,648655,647732,647231,646758,646862,647038,647278,648869,651140,653409,654476,655730,658385,662045,667005,653839.7273
28,40,Maine,State,ME,209894,210727,211621,212813,214182,215679,217184,218252,219107,219847,220608,221375,215940.75,222647,224298,226050,226898,227809,228897,230294,231477,232313,232879,233397,234128,229257.25,234276,234482,234500,235351,236531,238229,239758,240828,241806,242846,244134,245368,239009.0833,247117,248861,250851,252757,254536,255991,257654,260103,263065,266378,269753,257006
39,41,New Hampshire,State,NH,250842,252893,254837,256478,257203,258261,259662,261234,262715,264190,266102,267876,259357.75,269453,270244,271355,272616,274222,275810,277101,278643,279771,280765,281133,281825,276078.1667,282604,283309,283609,284116,285771,287734,289447,289972,290433,290951,291875,292828,287720.75,294012,295746,297870,300062,301653,303231,305399,308668,312571,316874,321496,305234.7273
50,42,Rhode Island,State,RI,264288,265001,266070,268358,270912,273523,275345,276587,277373,278806,281098,283577,273411.5,285789,287442,289114,290033,290952,291843,293054,294490,295463,295913,295692,295779,292130.3333,296023,296354,296958,297557,298399,299442,301090,301774,302021,302165,303278,304478,299961.5833,305742,307325,308816,310663,312539,314525,316329,319180,322980,327335,331458,316081.0909
35,43,Montana,State,MT,249163,250332,251536,252629,253629,254656,255674,256635,257778,259033,260536,261713,255276.1667,262499,263421,264565,266208,268104,270081,271878,272890,273893,274721,275868,276794,270076.8333,278066,279537,280935,282254,283207,284616,285734,287574,288846,289861,290473,291373,285206.3333,292795,294033,295339,296652,298344,299838,301842,303888,306553,309729,313261,301115.8182
13,44,Delaware,State,DE,241840,242246,242060,241343,241032,241086,241358,242079,243021,244152,244889,245135,242520.0833,245281,246333,248180,250148,251532,252282,252995,253548,254047,254599,255598,256694,251769.75,258001,258530,259084,259080,258665,258222,257968,258165,258284,258110,257973,258130,258351,258512,259091,259542,260630,262424,264673,266977,269189,271731,274759,277979,265955.1818
52,45,South Dakota,State,SD,185845,186834,187652,188466,189299,190273,191216,192063,192808,193439,194102,194612,190550.75,195165,195701,196447,197217,198327,199407,200560,201509,202505,203529,204419,205217,200000.25,205938,206526,207110,207664,208529,209361,210146,210745,211305,211798,212120,212581,209485.25,213187,214044,214855,215726,216241,216842,217521,218541,219658,220912,222435,217269.2727
3,46,Alaska,State,AK,290462,290220,290040,289931,290147,290629,291043,291369,292153,293330,294089,294094,291458.9167,293316,292625,292080,291580,291915,292368,293250,293308,293472,294545,295942,296876,293439.75,296875,299199,302047,306512,307458,308382,308032,309181,309276,305498,301862,298831,304429.4167,299030,296865,294394,290999,290053,289294,289508,289329,290014,293246,296646,292670.7273
37,47,North Dakota,State,ND,226240,226286,226003,225797,225937,226411,227011,227146,227320,227422,227725,227727,226752.0833,227880,227669,227969,227986,228162,227784,227609,227665,227691,227543,227288,227320,227713.8333,227675,228092,228232,228400,228636,229208,229830,230597,231357,231848,231881,231816,229797.6667,231811,232050,232353,232815,233169,233534,233802,233995,234269,234919,236012,233520.8182
58,48,Vermont,State,VT,235056,235488,235957,236503,237365,238477,239396,240634,241829,243422,244718,245944,239565.75,246930,247693,248100,248751,249360,249475,249940,250331,251406,251864,252206,252384,249870,252813,253922,254998,255987,256526,257513,258342,259597,260849,261523,261649,261484,257933.5833,261913,262278,262884,263530,264630,265729,266963,267992,268859,270571,273024,266215.7273
12,49,District of Columbia,State,DC,580658,584791,588662,589385,588995,588392,589652,590776,592666,595250,596991,599106,590443.6667,599152,602769,601956,603141,604984,610618,615835,618391,620645,622809,625211,626422,612661.0833,626844,625627,628823,631394,637085,639258,640707,641413,641728,642814,642228,642881,636733.5,644848,647051,648220,649749,649029,649508,650670,654050,658023,661622,666767,652685.1818
62,50,Wyoming,State,WY,223260,223241,223311,223476,223607,223893,224190,224823,225635,226566,227404,228248,224804.5,229029,229920,230615,231381,232009,232727,233391,233964,234579,235110,235741,236251,232893.0833,236938,237746,239030,240412,242108,243615,245217,246574,247930,249108,249765,250436,244073.25,251035,251848,252400,252882,253276,253818,254376,255163,255937,256905,258280,254174.5455
